what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1310680830572
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1310680830630
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1310680831928
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310680843786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310680844606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310680845441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310680855968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310680858112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310680859026
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1310680860916
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.0.v201105180000,"org.eclipse.jpt.jaxb.ui",1310680861000
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1310680861022
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1310680861048
started,bundle,org.eclipse.pde.api.tools,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools",1310680861138
started,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1310680861140
started,bundle,org.eclipse.jpt.jaxb.core,1.0.0.v201105240000,"org.eclipse.jpt.jaxb.core",1310680861560
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310680879531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310680881746
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1310680901969
