what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1257558670866
java.runtime.version,sysinfo,,,"1.6.0_0-b16",1257558670866
java.specification.name,sysinfo,,,"Java Platform API Specification",1257558670866
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257558670866
java.specification.version,sysinfo,,,"1.6",1257558670866
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1257558670866
java.version,sysinfo,,,"1.6.0_0",1257558670866
java.vm.info,sysinfo,,,"mixed mode, sharing",1257558670866
java.vm.name,sysinfo,,,"OpenJDK Client VM",1257558670866
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1257558670866
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257558670866
java.vm.specification.version,sysinfo,,,"1.0",1257558670866
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1257558670866
java.vm.version,sysinfo,,,"14.0-b16",1257558670866
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1257558670897
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1257558670919
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1257558670921
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1257558670988
started,bundle,com.trolltech.qtcppproject,1.5.2,"com.trolltech.qtcppproject",1257558671015
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1257558671261
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1257558671305
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1257558730139
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1257558730189
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1257558730218
started,bundle,org.eclipse.equinox.p2.ui,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.ui",1257558734520
