what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1257560783206
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1257560783207
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1257560783207
started,bundle,com.trolltech.qtcppproject,1.5.2,"com.trolltech.qtcppproject",1257560783207
started,bundle,com.mbartl.eclipse.viplugin.statusbar,1.0.3,"com.mbartl.eclipse.viplugin.statusbar",1257560783208
started,bundle,com.mbartl.viplugin.eclipse.layer,1.18.0,"com.mbartl.viplugin.eclipse.layer",1257560783209
os,sysinfo,,,"linux",1257560783211
arch,sysinfo,,,"x86",1257560783211
ws,sysinfo,,,"gtk",1257560783211
locale,sysinfo,,,"en_US",1257560783211
processors,sysinfo,,,"2",1257560783211
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1257560783211
java.runtime.version,sysinfo,,,"1.6.0_0-b16",1257560783211
java.specification.name,sysinfo,,,"Java Platform API Specification",1257560783211
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257560783211
java.specification.version,sysinfo,,,"1.6",1257560783211
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1257560783211
java.version,sysinfo,,,"1.6.0_0",1257560783211
java.vm.info,sysinfo,,,"mixed mode, sharing",1257560783211
java.vm.name,sysinfo,,,"OpenJDK Client VM",1257560783211
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1257560783211
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257560783211
java.vm.specification.version,sysinfo,,,"1.0",1257560783211
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1257560783211
java.vm.version,sysinfo,,,"14.0-b16",1257560783211
