what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1257488086819
started,bundle,com.trolltech.qtcppproject,1.5.2,"com.trolltech.qtcppproject",1257488086819
started,bundle,com.mbartl.eclipse.viplugin.statusbar,1.0.3,"com.mbartl.eclipse.viplugin.statusbar",1257488086820
started,bundle,com.mbartl.viplugin.eclipse.layer,1.18.0,"com.mbartl.viplugin.eclipse.layer",1257488086820
os,sysinfo,,,"linux",1257488086823
arch,sysinfo,,,"x86",1257488086823
ws,sysinfo,,,"gtk",1257488086823
locale,sysinfo,,,"en_US",1257488086823
processors,sysinfo,,,"2",1257488086823
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1257488086823
java.runtime.version,sysinfo,,,"1.6.0_0-b16",1257488086823
java.specification.name,sysinfo,,,"Java Platform API Specification",1257488086823
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257488086823
java.specification.version,sysinfo,,,"1.6",1257488086823
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1257488086823
java.version,sysinfo,,,"1.6.0_0",1257488086823
java.vm.info,sysinfo,,,"mixed mode, sharing",1257488086823
java.vm.name,sysinfo,,,"OpenJDK Client VM",1257488086823
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1257488086823
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257488086823
java.vm.specification.version,sysinfo,,,"1.0",1257488086823
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1257488086823
java.vm.version,sysinfo,,,"14.0-b16",1257488086823
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257488088086
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257488089661
