what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1257558734522
started,bundle,org.eclipse.equinox.p2.metadata,1.0.100.v20090525,"org.eclipse.equinox.p2.metadata",1257558734646
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090604-1131,"org.eclipse.ecf.identity",1257558735071
started,bundle,org.eclipse.ecf,3.0.0.v20090604-1131,"org.eclipse.ecf",1257558735086
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer.httpclient",1257558735114
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer",1257558735122
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257558735325
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1257558741805
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1257558768488
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257558768523
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257558770844
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257560162876
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257560163348
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257560168263
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257560168327
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257560202960
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257560217200
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.artifact.repository",1257560270194
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.100.v20090525,"org.eclipse.equinox.p2.updatesite",1257560270236
started,bundle,org.eclipse.equinox.p2.publisher,1.0.0.v20090527-1812,"org.eclipse.equinox.p2.publisher",1257560270278
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1257560292677
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257560292696
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257560296273
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.edit.text.openLocalFile",1257560305337
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257560305340
